x,y,q1,q2
2010-01-17,709.4100183219863,255.72597574820514,1964.8407867041608
2010-01-24,696.7999952027751,247.5121921584692,1958.3599375377717
2010-01-31,795.5645979236035,286.09767502397597,2209.1020449301886
2010-02-28,1395.3723740385806,500.91877008294387,3883.803524394832
2010-03-07,1482.27551014028,551.9814118785104,3977.626029233094
2010-04-04,1655.7588957573569,576.7045122933247,4750.304482242752
2010-04-11,1791.0514906758174,661.9299759250345,4843.3254368642
2010-04-18,1809.417670331288,709.5591752000385,4611.722283298995
2010-05-16,1734.572901589977,684.1674935092335,4395.316703972265
2010-05-23,1599.2486668625356,599.4746569431819,4263.61927441116
2010-05-30,1187.2416322813426,422.2075912683738,3335.230743061678
2010-06-27,753.9115980788195,251.7159513816693,2254.0674692205203
2010-07-04,973.113606081988,344.54354006955737,2745.1005850754523
2010-08-01,513.8545201367249,182.4795838401414,1443.7121110551836
2010-08-08,386.16163323568543,133.8813466230229,1110.3036309509826
2010-08-15,357.4130697556409,131.29188884543055,970.0340497273722
2010-09-12,257.391947980798,90.30363830868248,730.2567167979145
2010-09-19,246.85789442678356,85.19858837301994,711.697701774745
2010-09-26,276.6257770621379,95.54469017356524,797.3460504227706
2010-10-17,303.6084792519267,110.80803804823562,828.8716912655431
2010-10-24,309.85639645827786,111.71115328896273,856.3392818658056
2010-10-31,265.11889342213374,96.79780094945906,723.1396508784454
2010-11-28,359.3919565024505,130.23825628217176,988.6684548475537
2010-12-05,472.1213698289336,167.0899571934093,1330.6906870958696
2010-12-12,461.37177267532843,165.56048924436837,1282.5436371303408
2011-01-09,610.252411762891,208.9055836888765,1778.9884325123392
2011-01-16,675.5531230508033,233.90554552277425,1947.545434681612
2011-02-13,1153.411594559697,418.9670149189412,3172.263809566288
2011-02-20,1188.8140660573636,458.61531386726904,3079.0921315619603
2011-02-27,1161.572543938156,422.86651788216375,3187.680546583245
2011-03-27,1347.6477477977905,503.77808004686204,3602.2680885651703
2011-04-03,1550.9469582135455,568.454749106985,4228.55355958543
2011-04-10,1597.5372284894358,587.150404715061,4343.673148877032
2011-05-01,1251.371582172215,433.86486783781214,3605.7171570583228
2011-05-08,1406.232241413048,520.2623867663152,3798.0513636660526
2011-05-15,1416.2390981971384,522.8194657684747,3833.463575178421
2011-06-12,613.4961710928684,231.21225894632698,1625.1223503065562
2011-06-19,468.1647041705688,176.2071989507649,1241.1364422142583
2011-06-26,454.0507787715989,171.43401836136408,1199.8721552071388
2011-07-24,406.92697703829504,152.80766822323298,1080.8993650829298
2011-07-31,550.9120323202271,204.90351643526552,1478.3671166641266
2011-08-07,329.83190949446225,125.56769540779902,863.7526684206957
2011-08-28,223.9797087432496,80.01937086986113,623.7378719775558
2011-09-04,204.3739631739523,70.79953715966184,586.4475855740261
2011-09-11,191.49428684254525,68.95116889142162,528.7130992126162
2011-10-09,174.15126610703595,61.34368950088011,491.078127946929
2011-10-16,280.1076395745918,99.58996929046468,784.5803673526857
2011-10-23,250.77908304033045,89.30462552283343,700.9873709636372
2011-11-20,258.0533634828191,96.6205880892945,686.4435653919301
2011-11-27,286.1095229132536,105.4154561434314,773.6231716224645
2011-12-25,543.1294628273952,193.968839860245,1517.5855982374392
2012-01-01,1209.5038512685105,446.5219555461465,3273.2965027216387
2012-01-08,1741.2010679477369,681.4892294956867,4446.344265639308
2012-01-15,1669.770317776375,675.7423410721999,4123.8689277220155
2012-01-22,1221.9252084672826,502.01382698096967,2972.170885740536
2012-01-29,878.7269524132281,364.65800314122777,2115.5118885784536
2012-02-05,1284.1521729778838,521.4896925824542,3160.050124350797
2012-02-12,563.1748920322672,227.42701717290262,1392.4135845178741
2012-02-19,600.8539748442927,239.52351458041096,1504.9991438582426
2012-02-26,885.705489328021,363.91301963711277,2153.6137914901665
2012-03-04,1249.2092453030086,518.3332304320508,3008.6729141341234
2012-03-11,2199.489512937013,877.8568054031492,5508.605281288776
2012-03-18,1740.1240383755771,615.2304745741889,4918.446606570433
2012-03-25,2197.495570126012,786.962257812297,6133.028278566457
2012-04-01,2023.5011568276102,829.6133770015375,4933.43164711847
2012-04-08,1744.4385747224599,717.7403706294581,4237.743143732223
2012-04-15,1710.9974098034913,686.1083909674453,4264.608119043811
2012-04-22,2164.3419099686444,856.0471241577645,5469.767539969673
2012-04-29,1674.955441241985,608.9159482168062,4604.268396802384
2012-05-06,1495.4834152385822,605.6714138130841,3690.393003023727
2012-05-13,1537.6790113218342,636.1111962028041,3715.0437832404814
2012-05-20,1310.7514763681463,485.01100611583206,3539.43820839711
2012-05-27,1157.6383490175715,468.0555546483302,2861.0124215790324
2012-06-03,1035.563644370157,415.29300090176,2580.02871415679
2012-06-10,1099.580177052604,441.38207706464726,2737.0782109401152
2012-06-17,937.255231198229,369.4469775522931,2375.3802439083843
2012-06-24,597.2106143211976,217.6454095551769,1635.695413887648
2012-07-01,591.4869997100067,210.21544211011505,1661.0036930933952
2012-07-08,565.386863572276,206.77984617948871,1542.9133540898135
2012-07-15,415.6298018726258,165.42424390282514,1041.9994316800187
2012-07-22,388.9626362804699,139.2539919438812,1083.2533291719856
2012-07-29,364.2508068666413,146.11762654177545,905.8128344148482
2012-08-05,449.69435562736373,167.5744422927046,1203.959657180222
2012-08-12,353.588988160364,135.57300663252528,919.6310501964667
2012-08-19,288.79681736608086,105.1476045364835,790.1831427777958
2012-08-26,260.24720621573636,101.14780938414448,667.150429921225
2012-09-02,272.8496699281244,101.44379013565165,731.0467313874207
2012-09-09,193.73993196611374,76.0376235297519,491.2742857912863
